L1,L4,L2,L4,L2
L2,H1,H2,H3,L3
L3,L1,L3,L1,L4
L4,L2,L4,L2,H1
H1,H2,H3,L3,W
L1,L3,L1,L4,L2
L2,L4,L2,H1,H2
H2,H3,L3,W,L3
L3,L1,L4,L2,L1
L4,L2,H1,H2,L2
H3,L3,W,L3,L3
L1,L4,L2,L1,L4
L2,H1,H2,L2,H1
L3,W,L3,L3,L1
L4,L2,L1,L4,L2
H1,H2,L2,H1,H2
W,L3,L3,L1,L3
L2,L1,L4,L2,L4
H2,L2,H1,H2,H3
L3,L3,L1,L3,L1
L1,L4,L2,L4,L2
L2,H1,H2,H3,L3
L3,L1,L3,L1,L4
L4,L2,L4,L2,H1
H1,H2,H3,L3,W
L1,L3,L1,L4,L2
L2,L4,L2,H1,H2
H2,H3,L3,W,L3
L3,L1,L4,L2,L1
L4,L2,H1,H2,L2
H3,L3,W,L3,L3
L1,L4,L2,L1,L4
L2,H1,H2,L2,H1
L3,W,L3,L3,L1
L4,L2,L1,L4,L2
H1,H2,L2,H1,H2
W,L3,L3,L1,L3
L2,L1,L4,L2,L4
H2,L2,H1,H2,H3
L3,L3,L1,L3,L1
L1,L4,L2,L4,L2
L2,H1,H2,H3,L3
L3,L1,L3,L1,L4
L4,L2,L4,L2,H1
H1,H2,H3,L3,W
L1,L3,L1,L4,L2
L2,L4,L2,H1,H2
H2,H3,L3,W,L3
L3,L1,L4,L2,L1
L4,L2,H1,H2,L2
H3,L3,W,L3,L3
L1,L4,L2,L1,L4
L2,H1,H2,L2,H1
L3,W,L3,L3,L1
L4,L2,L1,L4,L2
H1,H2,L2,H1,H2
W,L3,L3,L1,L3
L2,L1,L4,L2,L4
H2,L2,H1,H2,H3
L3,L3,L1,L3,L1
