L1,L4,L1,L3,L1
L2,H1,L2,L4,W
L3,H4,H2,H3,L2
L4,L1,L3,L1,H4
H1,L2,L4,W,L3
H4,H2,H3,L2,H1
L1,L3,L1,H4,L4
L2,L4,W,L3,W
H2,H3,L2,H1,L1
L3,L1,H4,L4,L2
L4,W,L3,W,L3
H3,L2,H1,L1,L4
L1,H4,L4,L2,H1
W,L3,W,L3,H4
L2,H1,L1,L4,L1
H4,L4,L2,H1,L2
L3,W,L3,H4,H2
H1,L1,L4,L1,L3
L4,L2,H1,L2,L4
W,L3,H4,H2,H3
L1,L4,L1,L3,L1
L2,H1,L2,L4,W
L3,H4,H2,H3,L2
L4,L1,L3,L1,H4
H1,L2,L4,W,L3
H4,H2,H3,L2,H1
L1,L3,L1,H4,L4
L2,L4,W,L3,W
H2,H3,L2,H1,L1
L3,L1,H4,L4,L2
L4,W,L3,W,L3
H3,L2,H1,L1,L4
L1,H4,L4,L2,H1
W,L3,W,L3,H4
L2,H1,L1,L4,L1
H4,L4,L2,H1,L2
L3,W,L3,H4,H2
H1,L1,L4,L1,L3
L4,L2,H1,L2,L4
W,L3,H4,H2,H3
L1,L4,L1,L3,L1
L2,H1,L2,L4,W
L3,H4,H2,H3,L2
L4,L1,L3,L1,H4
H1,L2,L4,W,L3
H4,H2,H3,L2,H1
L1,L3,L1,H4,L4
L2,L4,W,L3,W
H2,H3,L2,H1,L1
L3,L1,H4,L4,L2
L4,W,L3,W,L3
H3,L2,H1,L1,L4
L1,H4,L4,L2,H1
W,L3,W,L3,H4
L2,H1,L1,L4,L1
H4,L4,L2,H1,L2
L3,W,L3,H4,H2
H1,L1,L4,L1,L3
L4,L2,H1,L2,L4
W,L3,H4,H2,H3
